x,y,z,cp
-4.988623e-02,2.837314e-02,4.149889e+00,-1.164502e+00
-2.282294e-02,3.477954e-02,4.149871e+00,-1.126477e+00
8.362584e-03,4.057496e-02,4.149850e+00,-1.113138e+00
4.298538e-02,4.487515e-02,4.149828e+00,-1.095651e+00
7.987693e-02,4.615867e-02,4.149805e+00,-9.330915e-01
1.172187e-01,4.432013e-02,4.149782e+00,-6.558871e-01
1.530655e-01,4.124277e-02,4.149760e+00,-4.413477e-01
1.860384e-01,3.819824e-02,4.149740e+00,-3.144851e-01
2.153161e-01,3.532819e-02,4.149721e+00,-2.263835e-01
2.405650e-01,3.259074e-02,4.149705e+00,-1.563747e-01
2.618300e-01,2.990607e-02,4.149691e+00,-8.712855e-02
2.793867e-01,2.725673e-02,4.149679e+00,3.658316e-03
2.936523e-01,2.479511e-02,4.149670e+00,1.150778e-01
3.051268e-01,2.282094e-02,4.149662e+00,1.746957e-01
3.171161e-01,2.436526e-02,3.978357e+00,4.430733e-01
3.056511e-01,2.413149e-02,3.978377e+00,4.394498e-01
2.914495e-01,2.292298e-02,3.978401e+00,4.206222e-01
2.740900e-01,2.042656e-02,3.978430e+00,3.905070e-01
2.532232e-01,1.627514e-02,3.978465e+00,3.836322e-01
2.286642e-01,1.005827e-02,3.978506e+00,3.442141e-01
2.004798e-01,1.495407e-03,3.978554e+00,2.790109e-01
1.691080e-01,-9.441908e-03,3.978607e+00,1.729572e-01
1.352595e-01,-2.217779e-02,3.978664e+00,2.440637e-02
9.957908e-02,-3.493494e-02,3.978723e+00,-1.699718e-01
6.256254e-02,-4.458004e-02,3.978783e+00,-3.207268e-01
2.558366e-02,-4.896566e-02,3.978839e+00,-2.698618e-01
-9.083264e-03,-4.862439e-02,3.978892e+00,-8.339915e-02
-3.977344e-02,-4.537802e-02,3.978938e+00,1.267866e-01
-6.585141e-02,-4.070517e-02,3.978978e+00,3.345089e-01
-8.735388e-02,-3.541339e-02,3.979012e+00,5.405674e-01
-1.046784e-01,-3.003125e-02,3.979040e+00,7.366418e-01
-1.183690e-01,-2.479834e-02,3.979063e+00,9.180233e-01
-1.289295e-01,-1.965076e-02,3.979082e+00,9.944996e-01
-1.357765e-01,-1.373680e-02,3.979096e+00,-4.233666e-01
-1.362069e-01,-7.747803e-03,3.979096e+00,-4.804192e+00
-1.309260e-01,-2.448758e-03,3.979081e+00,-2.393152e+00
-1.226137e-01,2.944873e-03,3.979062e+00,-1.906910e+00
-1.111893e-01,8.669636e-03,3.979039e+00,-1.600516e+00
-9.624672e-02,1.485389e-02,3.979011e+00,-1.414353e+00
-7.727837e-02,2.147792e-02,3.978978e+00,-1.292105e+00
-5.383070e-02,2.842234e-02,3.978937e+00,-1.213313e+00
-2.567801e-02,3.532839e-02,3.978891e+00,-1.158489e+00
6.974612e-03,4.166676e-02,3.978839e+00,-1.139859e+00
4.341171e-02,4.647514e-02,3.978782e+00,-1.125567e+00
8.238187e-02,4.809950e-02,3.978723e+00,-9.447414e-01
1.218813e-01,4.641905e-02,3.978664e+00,-6.764620e-01
1.597240e-01,4.344156e-02,3.978607e+00,-4.809098e-01
1.943769e-01,4.048424e-02,3.978554e+00,-3.503046e-01
2.249637e-01,3.767730e-02,3.978507e+00,-2.558342e-01
2.511628e-01,3.496584e-02,3.978465e+00,-1.880335e-01
2.730714e-01,3.226915e-02,3.978430e+00,-1.352108e-01
2.910304e-01,2.959054e-02,3.978401e+00,-1.729731e-02
3.055192e-01,2.710491e-02,3.978377e+00,1.180749e-01
3.170900e-01,2.511262e-02,3.978357e+00,1.775479e-01
3.297053e-01,2.697522e-02,3.798305e+00,4.491867e-01
3.181795e-01,2.675878e-02,3.798338e+00,4.244744e-01
3.038137e-01,2.555145e-02,3.798379e+00,4.208464e-01
2.861389e-01,2.301227e-02,3.798430e+00,4.035961e-01
2.647552e-01,1.873251e-02,3.798490e+00,3.945783e-01
2.394321e-01,1.225495e-02,3.798562e+00,3.722319e-01
2.102069e-01,3.257859e-03,3.798645e+00,3.021740e-01
1.775277e-01,-8.317282e-03,3.798738e+00,2.062858e-01
1.421475e-01,-2.187694e-02,3.798839e+00,5.746725e-02
1.047507e-01,-3.553842e-02,3.798945e+00,-1.541897e-01
6.583960e-02,-4.593710e-02,3.799050e+00,-2.951029e-01
2.688473e-02,-5.073675e-02,3.799150e+00,-2.456853e-01
-9.618667e-03,-5.051665e-02,3.799242e+00,-6.717483e-02
-4.184014e-02,-4.723290e-02,3.799324e+00,1.553607e-01
-6.909408e-02,-4.245307e-02,3.799394e+00,3.771869e-01
-9.144170e-02,-3.703474e-02,3.799453e+00,5.774325e-01
-1.093379e-01,-3.153293e-02,3.799502e+00,7.700014e-01
-1.233918e-01,-2.619324e-02,3.799541e+00,9.428761e-01
-1.341646e-01,-2.093895e-02,3.799572e+00,9.790765e-01
-1.411205e-01,-1.490982e-02,3.799597e+00,-6.730982e-01
-1.416497e-01,-8.896092e-03,3.799596e+00,-5.425816e+00
-1.364864e-01,-3.622061e-03,3.799571e+00,-2.578022e+00
-1.282396e-01,1.833522e-03,3.799539e+00,-2.007149e+00
-1.167707e-01,7.704103e-03,3.799500e+00,-1.664971e+00
-1.016142e-01,1.412823e-02,3.799452e+00,-1.488387e+00
-8.219493e-02,2.110141e-02,3.799393e+00,-1.343132e+00
-5.797979e-02,2.849780e-02,3.799322e+00,-1.241409e+00
-2.868088e-02,3.594006e-02,3.799241e+00,-1.199062e+00
5.516662e-03,4.285576e-02,3.799149e+00,-1.176195e+00
4.386507e-02,4.820125e-02,3.799049e+00,-1.147312e+00
8.502509e-02,5.018514e-02,3.798944e+00,-9.654277e-01
1.267972e-01,4.867313e-02,3.798839e+00,-6.721207e-01
1.667416e-01,4.580635e-02,3.798739e+00,-4.622776e-01
2.031622e-01,4.295148e-02,3.798646e+00,-3.344901e-01
2.351249e-01,4.022682e-02,3.798563e+00,-2.372096e-01
2.623209e-01,3.756279e-02,3.798491e+00,-1.891367e-01
2.849028e-01,3.487611e-02,3.798430e+00,-1.337909e-01
3.032808e-01,3.219019e-02,3.798380e+00,-2.964762e-02
3.179998e-01,2.970215e-02,3.798338e+00,9.107121e-02
3.296677e-01,2.771201e-02,3.798305e+00,1.785142e-01
3.425854e-01,2.986453e-02,3.611020e+00,4.502151e-01
3.310084e-01,2.964515e-02,3.611069e+00,4.465522e-01
3.164856e-01,2.841662e-02,3.611129e+00,4.457615e-01
2.984985e-01,2.581011e-02,3.611204e+00,4.333084e-01
2.765943e-01,2.137513e-02,3.611295e+00,4.193460e-01
2.504947e-01,1.460765e-02,3.611402e+00,3.810407e-01
2.202061e-01,5.144847e-03,3.611528e+00,3.159872e-01
1.861864e-01,-7.102030e-03,3.611669e+00,2.231863e-01
1.492323e-01,-2.152129e-02,3.611823e+00,6.982547e-02
1.100694e-01,-3.612230e-02,3.611984e+00,-1.536254e-01
6.920641e-02,-4.730276e-02,3.612144e+00,-2.921022e-01
2.821482e-02,-5.253305e-02,3.612297e+00,-2.036105e-01
-1.018049e-02,-5.244320e-02,3.612437e+00,-4.550110e-03
-4.397703e-02,-4.912975e-02,3.612561e+00,2.036907e-01
-7.243739e-02,-4.425226e-02,3.612667e+00,4.098889e-01
-9.564861e-02,-3.871903e-02,3.612755e+00,6.023539e-01
-1.141254e-01,-3.311099e-02,3.612827e+00,7.921663e-01
-1.285450e-01,-2.767863e-02,3.612886e+00,9.604469e-01
-1.395280e-01,-2.233087e-02,3.612932e+00,9.567374e-01
-1.465884e-01,-1.619738e-02,3.612968e+00,-8.754632e-01
-1.472206e-01,-1.015749e-02,3.612967e+00,-5.905025e+00
-1.421885e-01,-4.893664e-03,3.612930e+00,-2.777176e+00
-1.340203e-01,6.437765e-04,3.612884e+00,-2.207242e+00
-1.225173e-01,6.684322e-03,3.612825e+00,-1.794632e+00
-1.071521e-01,1.337604e-02,3.612753e+00,-1.530520e+00
-8.727917e-02,2.072890e-02,3.612665e+00,-1.381526e+00
-6.228237e-02,2.860879e-02,3.612559e+00,-1.285759e+00
-3.180879e-02,3.661772e-02,3.612435e+00,-1.232281e+00
3.977500e-03,4.413799e-02,3.612295e+00,-1.217994e+00
4.429535e-02,5.004211e-02,3.612143e+00,-1.183481e+00
8.771425e-02,5.239800e-02,3.611983e+00,-9.760740e-01
1.318311e-01,5.106023e-02,3.611823e+00,-6.762542e-01
1.739421e-01,4.831144e-02,3.611669e+00,-4.587731e-01
2.121819e-01,4.557142e-02,3.611528e+00,-3.300078e-01
2.455566e-01,4.294636e-02,3.611403e+00,-2.463139e-01
2.737711e-01,4.035038e-02,3.611295e+00,-1.681358e-01
2.970363e-01,3.769581e-02,3.611205e+00,-8.738970e-02
3.158345e-01,3.502515e-02,3.611130e+00,2.469427e-05
3.307791e-01,3.255711e-02,3.611069e+00,1.157394e-01
3.425359e-01,3.059026e-02,3.611020e+00,1.783257e-01
3.558476e-01,3.327301e-02,3.418349e+00,4.393581e-01
3.442217e-01,3.302039e-02,3.418414e+00,4.380122e-01
3.295410e-01,3.173604e-02,3.418495e+00,4.347187e-01
3.112356e-01,2.902319e-02,3.418595e+00,4.345364e-01
2.887979e-01,2.438952e-02,3.418718e+00,4.191775e-01
2.618998e-01,1.728441e-02,3.418865e+00,3.812762e-01
2.305151e-01,7.304418e-03,3.419037e+00,3.253747e-01
1.951116e-01,-5.668936e-03,3.419232e+00,2.329529e-01
1.565316e-01,-2.100480e-02,3.419445e+00,8.405169e-02
1.155434e-01,-3.660213e-02,3.419668e+00,-1.197403e-01
7.266386e-02,-4.861560e-02,3.419890e+00,-2.546776e-01
2.956941e-02,-5.431827e-02,3.420103e+00,-1.827217e-01
-1.077792e-02,-5.439348e-02,3.420297e+00,1.774349e-02
-4.619823e-02,-5.108234e-02,3.420467e+00,2.355890e-01
-7.590090e-02,-4.613823e-02,3.420612e+00,4.449169e-01
-9.999999e-02,-4.052036e-02,3.420732e+00,6.454029e-01
-1.190723e-01,-3.483506e-02,3.420830e+00,8.288703e-01
-1.338656e-01,-2.933684e-02,3.420908e+00,9.743092e-01
